% Y. Wang et al. The Holocene Asian Monsoon: Links to Solar Changes 
%     and North Atlantic Climate. Science, 2005. DOI: 10.1126/science.1106296

% NB. Age is in kilo-years before 1950.

%Age	d18O
2.207	-7.400
2.211	-7.380
2.215	-7.410
2.219	-7.530
2.222	-7.660
2.226	-7.600
2.230	-7.610
2.234	-7.460
2.237	-7.440
2.241	-7.670
2.245	-7.620
2.249	-7.600
2.253	-7.550
2.256	-7.640
2.260	-7.660
2.264	-7.500
2.268	-7.560
2.271	-7.620
2.275	-7.650
2.279	-7.380
2.284	-7.240
2.289	-7.480
2.294	-7.550
2.299	-7.570
2.304	-7.750
2.309	-7.660
2.314	-7.600
2.319	-7.550
2.324	-7.570
2.329	-7.540
2.334	-7.340
2.339	-7.380
2.344	-7.550
2.349	-7.350
2.354	-7.430
2.359	-7.410
2.364	-7.420
2.369	-7.320
2.374	-7.130
2.379	-7.210
2.384	-7.430
2.389	-7.190
2.394	-7.230
2.399	-7.530
2.404	-7.310
2.409	-7.170
2.413	-7.370
2.418	-7.340
2.423	-7.390
2.428	-7.540
2.433	-7.570
2.438	-7.670
2.443	-7.590
2.448	-7.710
2.453	-7.580
2.458	-7.490
2.463	-7.520
2.468	-7.460
2.473	-7.490
2.478	-7.490
2.483	-7.410
2.488	-7.750
2.493	-7.530
2.498	-7.440
2.503	-7.290
2.508	-7.450
2.513	-7.410
2.518	-7.390
2.523	-7.320
2.528	-7.370
2.533	-7.530
2.538	-7.590
2.543	-7.410
2.547	-7.300
2.552	-7.310
2.557	-7.230
2.562	-7.360
2.566	-7.520
2.571	-7.470
2.576	-7.410
2.581	-7.490
2.585	-7.620
2.590	-7.410
2.595	-7.310
2.600	-7.190
2.604	-7.340
2.609	-7.520
2.614	-7.520
2.619	-7.520
2.623	-7.590
2.628	-7.510
2.633	-7.560
2.638	-7.620
2.642	-7.390
2.647	-7.460
2.652	-7.420
2.657	-7.450
2.661	-7.540
2.666	-7.470
2.671	-7.550
2.675	-7.460
2.680	-7.520
2.685	-7.460
2.690	-7.480
2.694	-7.480
2.697	-7.430
2.699	-7.460
2.702	-7.450
2.704	-7.160
2.706	-7.260
2.709	-7.490
2.711	-7.310
2.713	-7.250
2.716	-7.110
2.718	-7.230
2.720	-7.000
2.723	-7.260
2.725	-7.090
2.728	-7.210
2.730	-6.980
2.732	-7.320
2.735	-7.220
2.737	-7.200
2.739	-7.250
2.742	-7.210
2.744	-7.210
2.747	-7.320
2.749	-7.080
2.751	-7.260
2.756	-7.380
2.761	-7.400
2.766	-7.490
2.770	-7.470
2.775	-7.370
2.781	-7.150
2.786	-7.490
2.792	-7.400
2.797	-7.540
2.803	-7.150
2.808	-7.320
2.814	-7.310
2.819	-7.400
2.825	-7.510
2.830	-7.520
2.836	-7.640
2.841	-7.580
2.847	-7.310
2.853	-7.380
2.858	-7.310
2.864	-7.640
2.869	-7.640
2.875	-7.390
2.880	-7.630
2.886	-7.470
2.891	-7.450
2.897	-7.400
2.902	-7.630
2.908	-7.760
2.913	-7.630
2.919	-7.750
2.925	-7.620
2.930	-7.560
2.936	-7.440
2.941	-7.540
2.947	-7.470
2.952	-7.460
2.958	-7.230
2.963	-7.660
2.969	-7.620
2.974	-7.660
2.980	-7.700
2.985	-7.780
2.991	-7.720
2.997	-7.610
3.002	-7.640
3.008	-7.780
3.013	-7.810
3.019	-7.800
3.024	-7.770
3.030	-7.810
3.035	-7.720
3.041	-7.850
3.046	-7.810
3.052	-7.600
3.057	-7.470
3.063	-7.140
3.068	-7.310
3.074	-7.510
3.080	-7.870
3.085	-7.810
3.091	-7.650
3.096	-7.730
3.102	-7.600
3.107	-7.700
3.113	-7.660
3.118	-7.730
3.124	-7.700
